#logback.classic pattern: %d{yyyy-MM-dd} | %d{HH:mm:ss.SSS} [%thread] %-5level %logger{36} | %msg%n
2020-04-22 | 09:25:40.491 [restartedMain] INFO  c.s.app.SpringMessagingApplication | Starting SpringMessagingApplication on DESKTOP-OGS95GR with PID 5924 (D:\Solum\spring-integration\target\classes started by solum20 in D:\Solum\spring-integration)
2020-04-22 | 09:25:40.491 [restartedMain] DEBUG c.s.app.SpringMessagingApplication | Running with Spring Boot v2.2.6.RELEASE, Spring v5.2.5.RELEASE
2020-04-22 | 09:25:40.491 [restartedMain] INFO  c.s.app.SpringMessagingApplication | No active profile set, falling back to default profiles: default
2020-04-22 | 09:25:41.008 [restartedMain] INFO  c.s.app.SpringMessagingApplication | Started SpringMessagingApplication in 0.56 seconds (JVM running for 406.707)
2020-04-22 | 09:26:07.736 [http-nio-8181-exec-2] DEBUG c.s.a.c.IntegrationContoller | This is a DEBUG message.
2020-04-22 | 09:26:07.741 [http-nio-8181-exec-2] INFO  c.s.a.c.IntegrationContoller | This is an INFO message.
2020-04-22 | 09:26:07.742 [http-nio-8181-exec-2] WARN  c.s.a.c.IntegrationContoller | This is a WARN message.
2020-04-22 | 09:26:07.742 [http-nio-8181-exec-2] ERROR c.s.a.c.IntegrationContoller | You guessed it, an ERROR message.
2020-04-22 | 09:28:30.986 [Thread-16] INFO  c.s.app.logic.InitGracefulShutdown | Commencing graceful shutdown, allowing up to 30s for active requests to complete
2020-04-22 | 09:28:30.988 [Thread-16] INFO  c.s.app.logic.InitGracefulShutdown | Graceful shutdown completed
