#logback.classic pattern: %d{yyyy-MM-dd} | %d{HH:mm:ss.SSS} [%thread] %-5level %logger{36} | %msg%n
2020-04-21 | 20:07:16.569 [restartedMain] INFO  c.s.app.SpringMessagingApplication | Starting SpringMessagingApplication on DESKTOP-OGS95GR with PID 10584 (D:\Solum\spring-integration\target\classes started by solum20 in D:\Solum\spring-integration)
2020-04-21 | 20:07:16.569 [restartedMain] DEBUG c.s.app.SpringMessagingApplication | Running with Spring Boot v2.2.6.RELEASE, Spring v5.2.5.RELEASE
2020-04-21 | 20:07:16.569 [restartedMain] INFO  c.s.app.SpringMessagingApplication | No active profile set, falling back to default profiles: default
2020-04-21 | 20:07:16.885 [restartedMain] INFO  c.s.app.SpringMessagingApplication | Started SpringMessagingApplication in 0.342 seconds (JVM running for 166.704)
2020-04-21 | 20:07:21.648 [http-nio-8181-exec-1] DEBUG c.s.a.c.IntegrationContoller | This is a DEBUG message.
2020-04-21 | 20:07:21.653 [http-nio-8181-exec-1] INFO  c.s.a.c.IntegrationContoller | This is an INFO message.
2020-04-21 | 20:07:21.653 [http-nio-8181-exec-1] WARN  c.s.a.c.IntegrationContoller | This is a WARN message.
2020-04-21 | 20:07:21.653 [http-nio-8181-exec-1] ERROR c.s.a.c.IntegrationContoller | You guessed it, an ERROR message.
2020-04-21 | 20:07:49.030 [Thread-19] INFO  c.s.app.logic.InitGracefulShutdown | Commencing graceful shutdown, allowing up to 30s for active requests to complete
2020-04-21 | 20:07:49.034 [Thread-19] INFO  c.s.app.logic.InitGracefulShutdown | Graceful shutdown completed
