#logback.classic pattern: %d{yyyy-MM-dd} | %d{HH:mm:ss.SSS} [%thread] %-5level %logger{36} | %msg%n
2020-04-22 | 10:40:16.741 [http-nio-8181-exec-9] WARN  c.s.a.c.IntegrationContoller | This is a WARN message.
2020-04-22 | 10:40:16.741 [http-nio-8181-exec-9] ERROR c.s.a.c.IntegrationContoller | You guessed it, an ERROR message.
2020-04-22 | 10:40:16.922 [http-nio-8181-exec-10] TRACE c.s.a.c.IntegrationContoller | This is a TRACE message.
2020-04-22 | 10:40:16.923 [http-nio-8181-exec-10] DEBUG c.s.a.c.IntegrationContoller | This is a DEBUG message.
2020-04-22 | 10:40:16.924 [http-nio-8181-exec-10] INFO  c.s.a.c.IntegrationContoller | This is an INFO message.
2020-04-22 | 10:40:16.924 [http-nio-8181-exec-10] WARN  c.s.a.c.IntegrationContoller | This is a WARN message.
2020-04-22 | 10:40:16.925 [http-nio-8181-exec-10] ERROR c.s.a.c.IntegrationContoller | You guessed it, an ERROR message.
2020-04-22 | 10:40:17.061 [http-nio-8181-exec-1] TRACE c.s.a.c.IntegrationContoller | This is a TRACE message.
2020-04-22 | 10:40:17.061 [http-nio-8181-exec-1] DEBUG c.s.a.c.IntegrationContoller | This is a DEBUG message.
2020-04-22 | 10:40:17.061 [http-nio-8181-exec-1] INFO  c.s.a.c.IntegrationContoller | This is an INFO message.
2020-04-22 | 10:40:17.062 [http-nio-8181-exec-1] WARN  c.s.a.c.IntegrationContoller | This is a WARN message.
2020-04-22 | 10:40:17.062 [http-nio-8181-exec-1] ERROR c.s.a.c.IntegrationContoller | You guessed it, an ERROR message.
2020-04-22 | 10:40:17.278 [http-nio-8181-exec-2] TRACE c.s.a.c.IntegrationContoller | This is a TRACE message.
2020-04-22 | 10:40:17.279 [http-nio-8181-exec-2] DEBUG c.s.a.c.IntegrationContoller | This is a DEBUG message.
2020-04-22 | 10:40:17.280 [http-nio-8181-exec-2] INFO  c.s.a.c.IntegrationContoller | This is an INFO message.
2020-04-22 | 10:40:17.281 [http-nio-8181-exec-2] WARN  c.s.a.c.IntegrationContoller | This is a WARN message.
2020-04-22 | 10:40:17.281 [http-nio-8181-exec-2] ERROR c.s.a.c.IntegrationContoller | You guessed it, an ERROR message.
2020-04-22 | 10:41:26.034 [Thread-12] INFO  c.s.app.logic.InitGracefulShutdown | Commencing graceful shutdown, allowing up to 30s for active requests to complete
2020-04-22 | 10:41:26.035 [Thread-12] INFO  c.s.app.logic.InitGracefulShutdown | Graceful shutdown completed
