#logback.classic pattern: %d{yyyy-MM-dd} | %d{HH:mm:ss.SSS} [%thread] %-5level %logger{36} | %msg%n
2020-04-22 | 10:35:33.648 [restartedMain] INFO  c.s.app.SpringMessagingApplication | Starting SpringMessagingApplication on DESKTOP-OGS95GR with PID 13696 (D:\Solum\spring-integration\target\classes started by solum20 in D:\Solum\spring-integration)
2020-04-22 | 10:35:33.649 [restartedMain] DEBUG c.s.app.SpringMessagingApplication | Running with Spring Boot v2.2.6.RELEASE, Spring v5.2.5.RELEASE
2020-04-22 | 10:35:33.649 [restartedMain] INFO  c.s.app.SpringMessagingApplication | No active profile set, falling back to default profiles: default
2020-04-22 | 10:35:33.932 [restartedMain] INFO  c.s.app.SpringMessagingApplication | Started SpringMessagingApplication in 0.306 seconds (JVM running for 2994.75)
2020-04-22 | 10:35:43.629 [http-nio-8181-exec-1] TRACE c.s.a.c.IntegrationContoller | This is a TRACE message.
2020-04-22 | 10:35:43.632 [http-nio-8181-exec-1] DEBUG c.s.a.c.IntegrationContoller | This is a DEBUG message.
2020-04-22 | 10:35:43.633 [http-nio-8181-exec-1] INFO  c.s.a.c.IntegrationContoller | This is an INFO message.
2020-04-22 | 10:35:43.633 [http-nio-8181-exec-1] WARN  c.s.a.c.IntegrationContoller | This is a WARN message.
2020-04-22 | 10:35:43.634 [http-nio-8181-exec-1] ERROR c.s.a.c.IntegrationContoller | You guessed it, an ERROR message.
2020-04-22 | 10:37:11.038 [Thread-48] INFO  c.s.app.logic.InitGracefulShutdown | Commencing graceful shutdown, allowing up to 30s for active requests to complete
2020-04-22 | 10:37:11.041 [Thread-48] INFO  c.s.app.logic.InitGracefulShutdown | Graceful shutdown completed
